brand,region,city,location_type,event_type,start_date,end_date,lease_length_days,sku,product_name,price_usd,avg_daily_footfall,units_sold,sell_through_pct,sold per day,Total Revenue,Total Visitors 
Guerlain,North America,Chicago,Department Store Atrium,Standalone Pop-Up,1/8/25,1/13/25,5,LE-7Q3FICZD,Guerlain Mirage Mascara,41.5,1657,1775,78.26,355,73662.5,8285
Shiseido,Latin America,São Paulo,Department Store Atrium,Standalone Pop-Up,12/6/24,1/30/25,55,LE-WNTJ42BE,Shiseido Éclat Foundation,92.16,1601,1257,57.63,22.85454545,115845.12,88055
Fenty Beauty,North America,Toronto,Art/Design District,Mobile Pop-Up Truck,1/25/25,3/23/25,57,LE-OR525YAP,Fenty Beauty Mirage Primer,39.48,507,816,68.69,14.31578947,32215.68,28899
Hermès Beauty,Europe,Milan,Art/Design District,Mall Kiosk,10/26/24,12/31/24,66,LE-94031G12,Hermès Beauty Velvet Serum,96.31,1201,175,74.79,2.651515152,16854.25,79266
Hermès Beauty,North America,Miami,Department Store Atrium,Mobile Pop-Up Truck,4/7/24,4/18/24,11,LE-H3U230CQ,Hermès Beauty Velvet Setting Powder,69.59,1645,607,52.6,55.18181818,42241.13,18095
Guerlain,Europe,Madrid,Luxury Mall,Mall Kiosk,11/4/24,12/12/24,38,LE-RWS1PYHD,Guerlain Lumière Setting Powder,63.28,1204,254,51.42,6.684210526,16073.12,45752
Pat McGrath Labs,Latin America,Bogotá,Luxury Mall,Mall Kiosk,4/1/24,6/13/24,73,LE-1K2P147D,Pat McGrath Labs Lumière Setting Powder,52.72,1296,1187,58.36,16.26027397,62578.64,94608
YSL Beauty,Middle East,Riyadh,Department Store Atrium,Standalone Pop-Up,5/7/24,6/10/24,34,LE-0C1V91SY,YSL Beauty Noir Highlighter,60.51,1671,725,92.95,21.32352941,43869.75,56814
Rare Beauty,Asia-Pacific,Shanghai,Art/Design District,Flash Event,7/22/24,10/4/24,74,LE-HKC57Y22,Rare Beauty Lumière Setting Powder,54.69,566,1738,63.85,23.48648649,95051.22,41884
Rare Beauty,Middle East,Riyadh,Department Store Atrium,Shop-in-Shop,3/31/25,4/16/25,16,LE-4HA0O7M7,Rare Beauty Lumière Foundation,57.57,948,192,51.47,12,11053.44,15168
Lancôme,North America,Toronto,Department Store Atrium,Standalone Pop-Up,2/22/24,3/1/24,8,LE-73EF4MAT,Lancôme Noir Setting Powder,83.6,1404,2568,97.98,321,214684.8,11232
Hermès Beauty,Latin America,Buenos Aires,Department Store Atrium,Flash Event,12/29/24,1/15/25,17,LE-MUUSUQ0L,Hermès Beauty Pearl Primer,35.03,1367,1231,89.2,72.41176471,43121.93,23239
Hourglass,Asia-Pacific,Singapore,High-Street,Shop-in-Shop,6/25/25,8/7/25,43,LE-307PZD1D,Hourglass Pearl Primer,44.65,998,3305,81.14,76.86046512,147568.25,42914
Tom Ford Beauty,North America,Los Angeles,High-Street,Standalone Pop-Up,2/26/25,5/7/25,70,LE-8EPXVCHK,Tom Ford Beauty Satin Setting Powder,67.08,2344,208,83.87,2.971428571,13952.64,164080
Estée Lauder,Middle East,Unknown,Airport Duty-Free,Mobile Pop-Up Truck,3/16/25,6/12/25,88,LE-KXELI6K6,Estée Lauder Noir Highlighter,82.59,1937,1364,67.39,15.5,112652.76,170456
Bobbi Brown,North America,Miami,Art/Design District,Flash Event,5/5/25,6/14/25,40,LE-2OCXQQ1S,Bobbi Brown Rouge Blush,61.16,647,3235,83.1,80.875,197852.6,25880
Rare Beauty,Europe,Paris,Department Store Atrium,Shop-in-Shop,5/12/25,7/17/25,66,LE-EMXROV9J,Rare Beauty Mirage Mascara,30.53,1169,1997,61.54,30.25757576,60968.41,77154
Pat McGrath Labs,North America,Miami,Art/Design District,Mobile Pop-Up Truck,7/30/24,8/30/24,31,LE-Z3HO59DV,Pat McGrath Labs Velvet Serum,257.83,1340,1586,60.21,51.16129032,408918.38,41540
YSL Beauty,Asia-Pacific,Hong Kong,High-Street,Standalone Pop-Up,8/9/24,11/3/24,86,LE-16TS29U9,YSL Beauty Mirage Eyeshadow Palette,125.14,2914,2325,67.37,27.03488372,290950.5,250604
Rare Beauty,North America,Miami,Airport Duty-Free,Mobile Pop-Up Truck,6/30/24,8/28/24,59,LE-ZDHKIA8S,Rare Beauty Glow Fragrance,222.82,1487,3102,91.42,52.57627119,691187.64,87733
Clé de Peau Beauté,Middle East,Riyadh,Department Store Atrium,Flash Event,3/5/25,5/25/25,81,LE-VQ4187CQ,Clé de Peau Beauté Rouge Blush,41.34,1576,3550,74.1,43.82716049,146757,127656
Valentino Beauty,Latin America,Buenos Aires,Department Store Atrium,Standalone Pop-Up,3/20/24,3/28/24,8,LE-EI958E3T,Valentino Beauty Velvet Mascara,34.7,1119,2311,60.45,288.875,80191.7,8952
Lancôme,Middle East,Dubai,Luxury Mall,Flash Event,4/24/25,7/22/25,89,LE-ZNDIK5YW,Lancôme Éclat Lipstick,63.57,1998,2061,77.74,23.15730337,131017.77,177822
Lancôme,Latin America,Unknown,Department Store Atrium,Mobile Pop-Up Truck,9/12/24,12/1/24,80,LE-R09FABDQ,Lancôme Glow Serum,106.25,928,1597,68.51,19.9625,169681.25,74240
Armani Beauty,Latin America,Lima,Luxury Mall,Standalone Pop-Up,6/18/24,8/29/24,72,LE-Z2OV0ZI1,Armani Beauty Éclat Fragrance,361.63,1862,1736,51.76,24.11111111,627789.68,134064
NARS,Latin America,Bogotá,Airport Duty-Free,Shop-in-Shop,5/24/25,6/2/25,9,LE-BEMQG91T,NARS Velvet Mascara,44.97,1544,2337,78.87,259.6666667,105094.89,13896
Tom Ford Beauty,Middle East,Jeddah,High-Street,Flash Event,7/27/24,9/16/24,51,LE-57J1QDQI,Tom Ford Beauty Lumière Blush,35.98,1151,2360,87.76,46.2745098,84912.8,58701
Guerlain,North America,New York,Airport Duty-Free,Standalone Pop-Up,10/29/24,11/16/24,18,LE-KL3HU4L2,Guerlain Velvet Serum,125.54,1204,506,68.19,28.11111111,63523.24,21672
Chanel,Latin America,Mexico City,Art/Design District,Flash Event,2/13/25,4/18/25,64,LE-WVHYH5LJ,Chanel Rouge Fragrance,213.12,710,2873,61.84,44.890625,612293.76,45440
NARS,Latin America,Mexico City,Art/Design District,Flash Event,1/11/25,1/19/25,8,LE-7BFEK253,NARS Rouge Setting Powder,84.29,1222,1655,87.34,206.875,139499.95,9776
Tom Ford Beauty,Middle East,Dubai,High-Street,Mobile Pop-Up Truck,8/25/24,10/2/24,38,LE-PJHT366K,Tom Ford Beauty Lumière Blush,54.62,1182,1631,78.53,42.92105263,89085.22,44916
Valentino Beauty,North America,Los Angeles,High-Street,Shop-in-Shop,11/12/24,2/5/25,85,LE-EBVBQFX8,Valentino Beauty Velvet Mascara,32.66,2467,1654,61.58,19.45882353,54019.64,209695
Lancôme,Middle East,Abu Dhabi,Art/Design District,Mall Kiosk,7/11/24,7/28/24,17,LE-NVB9X7Q0,Lancôme Glow Lipstick,79.97,837,2578,61.34,151.6470588,206162.66,14229
La Prairie,Asia-Pacific,Singapore,Department Store Atrium,Shop-in-Shop,3/16/24,4/24/24,39,LE-RQR17ZOI,La Prairie Pearl Highlighter,77.66,1262,1874,89.67,48.05128205,145534.84,49218
Armani Beauty,Asia-Pacific,Hong Kong,High-Street,Shop-in-Shop,6/28/24,9/25/24,89,LE-F74N25LZ,Armani Beauty Satin Eyeshadow Palette,95.56,2335,1010,62.38,11.34831461,96515.6,207815
Guerlain,North America,Miami,Department Store Atrium,Flash Event,5/6/25,7/16/25,71,LE-5JWDN9Q6,Guerlain Noir Highlighter,81.57,650,1789,58.44,25.1971831,145928.73,46150
Huda Beauty,Middle East,Abu Dhabi,High-Street,Shop-in-Shop,5/15/24,7/29/24,75,LE-XJRMFMX5,Huda Beauty Velvet Mascara,62.77,2528,3139,66.57,41.85333333,197035.03,189600
Givenchy Beauty,Asia-Pacific,Tokyo,Airport Duty-Free,Flash Event,6/23/24,9/9/24,78,LE-LR2Q21CA,Givenchy Beauty Velvet Setting Powder,45.09,1931,2668,70.36,34.20512821,120300.12,150618
NARS,Middle East,Abu Dhabi,Art/Design District,Mobile Pop-Up Truck,4/22/24,7/13/24,82,LE-Z86VPBNL,NARS Noir Fragrance,359.25,992,2332,62.05,28.43902439,837771,81344
Charlotte Tilbury,Asia-Pacific,Tokyo,High-Street,Standalone Pop-Up,4/26/24,5/19/24,23,LE-TUQ1OZ9U,Charlotte Tilbury Satin Setting Powder,66.86,2667,298,56.02,12.95652174,19924.28,61341
Shiseido,Middle East,Riyadh,Airport Duty-Free,Flash Event,7/18/24,10/3/24,77,LE-5PBLWF7E,Shiseido Mirage Highlighter,88.54,2070,2949,63.94,38.2987013,261104.46,159390
Charlotte Tilbury,Europe,Paris,Department Store Atrium,Flash Event,4/9/25,6/14/25,66,LE-HT50637P,Charlotte Tilbury Mirage Mascara,35.57,1577,551,93.39,8.348484848,19599.07,104082
Chanel,Middle East,Jeddah,Department Store Atrium,Mall Kiosk,3/25/24,4/25/24,31,LE-6PBZ7JJ0,Chanel Velvet Mascara,69.08,817,768,52.07,24.77419355,53053.44,25327
Hourglass,Asia-Pacific,Shanghai,Department Store Atrium,Standalone Pop-Up,3/10/24,3/20/24,10,LE-KNOL4MHC,Hourglass Rouge Foundation,53.71,1664,1322,78.27,132.2,71004.62,16640
Huda Beauty,Asia-Pacific,Hong Kong,Department Store Atrium,Standalone Pop-Up,11/4/24,11/25/24,21,LE-VAINAAFY,Huda Beauty Glow Mascara,50.1,1166,2173,73.21,103.4761905,108867.3,24486
YSL Beauty,Europe,Berlin,High-Street,Mall Kiosk,3/16/24,5/30/24,75,LE-8MU7OZ3G,YSL Beauty Noir Fragrance,246.19,2602,970,74.05,12.93333333,238804.3,195150
Valentino Beauty,Middle East,Jeddah,High-Street,Mobile Pop-Up Truck,6/1/24,8/17/24,77,LE-WH9T93KV,Valentino Beauty Satin Mascara,64.27,2663,2913,93.7,37.83116883,187218.51,205051
Charlotte Tilbury,Asia-Pacific,Tokyo,Department Store Atrium,Shop-in-Shop,4/25/24,5/16/24,21,LE-9OPTKY1L,Charlotte Tilbury Lumière Foundation,76,618,1952,91.95,92.95238095,148352,12978
Fenty Beauty,Europe,Berlin,High-Street,Shop-in-Shop,1/14/25,1/21/25,7,LE-4H8RZIRL,Fenty Beauty Lumière Primer,54.27,1726,1701,65.52,243,92313.27,12082
Hermès Beauty,North America,Chicago,High-Street,Standalone Pop-Up,4/15/25,7/10/25,86,LE-KQF881R2,Hermès Beauty Mirage Eyeshadow Palette,130.34,1824,615,57.21,7.151162791,80159.1,156864
Hermès Beauty,Asia-Pacific,Singapore,Luxury Mall,Flash Event,5/31/24,6/20/24,20,LE-GBU3LLPM,Hermès Beauty Velvet Foundation,89.13,1076,2008,65.17,100.4,178973.04,21520
Clé de Peau Beauté,Latin America,Bogotá,Department Store Atrium,Mall Kiosk,3/29/24,6/22/24,85,LE-WA8KRZIU,Clé de Peau Beauté Noir Blush,32.97,1496,162,63.78,1.905882353,5341.14,127160
La Prairie,North America,New York,High-Street,Standalone Pop-Up,4/25/24,6/18/24,54,LE-6PD41NWI,La Prairie Noir Fragrance,239,1132,2975,91.74,55.09259259,711025,61128
Huda Beauty,Latin America,Bogotá,High-Street,Mobile Pop-Up Truck,12/4/24,2/9/25,67,LE-3J5I4CTJ,Huda Beauty Opulence Primer,56.81,1181,220,56.99,3.28358209,12498.2,79127
Hourglass,Asia-Pacific,Singapore,Luxury Mall,Standalone Pop-Up,7/21/24,10/17/24,88,LE-MHLDF8ZF,Hourglass Velvet Eyeshadow Palette,141.57,775,968,69.94,11,137039.76,68200
Pat McGrath Labs,Europe,Paris,High-Street,Mobile Pop-Up Truck,8/25/24,10/7/24,43,LE-RA7Y6QIJ,Pat McGrath Labs Lumière Serum,132.97,2534,3114,65.64,72.41860465,414068.58,108962
Valentino Beauty,Latin America,Lima,High-Street,Flash Event,3/5/24,4/5/24,31,LE-JMTBVDTQ,Valentino Beauty Mirage Lipstick,41.62,2813,1325,74.44,42.74193548,55146.5,87203
Hermès Beauty,Europe,London,Department Store Atrium,Standalone Pop-Up,7/10/25,7/27/25,17,LE-5HQBK8CV,Hermès Beauty Velvet Primer,83.19,1327,2736,81.87,160.9411765,227607.84,22559
Lancôme,North America,Miami,Luxury Mall,Mall Kiosk,6/24/24,7/4/24,10,LE-CQBVB62X,Lancôme Rouge Blush,67.83,1180,222,73.27,22.2,15058.26,11800
Shiseido,Asia-Pacific,Hong Kong,Airport Duty-Free,Mall Kiosk,4/3/24,5/10/24,37,LE-AR3COGGM,Shiseido Satin Mascara,36.7,1189,570,47.46,15.40540541,20919,43993
Hourglass,Middle East,Jeddah,Art/Design District,Mobile Pop-Up Truck,3/4/24,5/5/24,62,LE-69IOX45Q,Hourglass Velvet Fragrance,385.46,1012,2727,74.16,43.98387097,1051149.42,62744
Charlotte Tilbury,Asia-Pacific,Unknown,High-Street,Mall Kiosk,6/27/24,7/21/24,24,LE-K3AN2LJ7,Charlotte Tilbury Éclat Foundation,115.55,1632,734,70.71,30.58333333,84813.7,39168
Hermès Beauty,Latin America,São Paulo,Art/Design District,Flash Event,4/29/24,5/11/24,12,LE-6IGPVAK4,Hermès Beauty Mirage Fragrance,200.82,1017,2244,73.99,187,450640.08,12204
YSL Beauty,North America,Miami,Department Store Atrium,Standalone Pop-Up,6/20/25,7/14/25,24,LE-WAWAB9HC,YSL Beauty Lumière Highlighter,88.8,1443,1881,56.28,78.375,167032.8,34632
Tom Ford Beauty,Asia-Pacific,Hong Kong,Art/Design District,Standalone Pop-Up,5/16/25,7/7/25,52,LE-VXZDY3MW,Tom Ford Beauty Opulence Serum,298.46,993,1643,69.5,31.59615385,490369.78,51636
YSL Beauty,Middle East,Doha,Art/Design District,Standalone Pop-Up,6/18/24,9/12/24,86,LE-5WIITW3W,YSL Beauty Mirage Eyeshadow Palette,114.41,1218,2431,55.74,28.26744186,278130.71,104748
Dior,Europe,Madrid,High-Street,Standalone Pop-Up,10/26/24,12/26/24,61,LE-7P8C1L64,Dior Velvet Highlighter,62.88,2478,1856,82.53,30.42622951,116705.28,151158
Shiseido,Middle East,Riyadh,Art/Design District,Flash Event,6/22/24,8/8/24,47,LE-OKZF8KTC,Shiseido Mirage Fragrance,343.04,482,1631,83,34.70212766,559498.24,22654
Tom Ford Beauty,Middle East,Riyadh,Airport Duty-Free,Shop-in-Shop,3/5/24,3/25/24,20,LE-V4JKQOXS,Tom Ford Beauty Glow Blush,51.23,2437,4210,95.34,210.5,215678.3,48740
MAC Cosmetics,Latin America,São Paulo,High-Street,Shop-in-Shop,1/28/25,4/10/25,72,LE-GV9SUQ49,MAC Cosmetics Pearl Foundation,55.51,2382,1836,83.3,25.5,101916.36,171504
Charlotte Tilbury,North America,Miami,High-Street,Standalone Pop-Up,6/24/24,8/27/24,64,LE-FA66GVZO,Charlotte Tilbury Lumière Setting Powder,40.54,2273,2756,73.67,43.0625,111728.24,145472
MAC Cosmetics,Latin America,São Paulo,High-Street,Mall Kiosk,6/5/25,7/28/25,53,LE-16LEPG5L,MAC Cosmetics Opulence Primer,80.67,2349,2062,82.91,38.90566038,166341.54,124497
Clé de Peau Beauté,Asia-Pacific,Hong Kong,Art/Design District,Shop-in-Shop,7/19/24,9/22/24,65,LE-7I2CRDBK,Clé de Peau Beauté Lumière Highlighter,45.49,866,3089,67.7,47.52307692,140518.61,56290
Tom Ford Beauty,Asia-Pacific,Seoul,Art/Design District,Shop-in-Shop,11/22/24,2/7/25,77,LE-OP8QO7B6,Tom Ford Beauty Opulence Mascara,72.76,1389,3673,86.22,47.7012987,267247.48,106953
Huda Beauty,Europe,Berlin,High-Street,Mall Kiosk,5/12/25,7/3/25,52,LE-ODVU82RE,Huda Beauty Pearl Primer,61.25,1023,2355,77.93,45.28846154,144243.75,53196
Sisley-Paris,Middle East,Riyadh,Airport Duty-Free,Flash Event,10/8/24,1/3/25,87,LE-P23YUZHI,Sisley-Paris Glow Highlighter,40.17,1753,2702,78.14,31.05747126,108539.34,152511
Hourglass,Asia-Pacific,Seoul,Art/Design District,Flash Event,7/30/24,8/5/24,6,LE-8RAW3NBG,Hourglass Satin Setting Powder,52.45,905,1676,78.14,279.3333333,87906.2,5430
MAC Cosmetics,Asia-Pacific,Shanghai,Art/Design District,Flash Event,10/25/24,12/24/24,60,LE-SECENTXZ,MAC Cosmetics Lumière Fragrance,102.05,463,2109,60.05,35.15,215223.45,27780
Sisley-Paris,Asia-Pacific,Tokyo,Department Store Atrium,Mobile Pop-Up Truck,9/15/24,10/21/24,36,LE-8MHRHKEM,Sisley-Paris Opulence Eyeshadow Palette,128.87,1499,4631,98.11,128.6388889,596796.97,53964
Chanel,North America,New York,Luxury Mall,Mobile Pop-Up Truck,3/26/25,6/4/25,70,LE-LTIK507O,Chanel Velvet Fragrance,289.78,1698,1606,70.81,22.94285714,465386.68,118860
Valentino Beauty,Asia-Pacific,Hong Kong,Art/Design District,Shop-in-Shop,9/18/24,10/30/24,42,LE-Y802G81A,Valentino Beauty Noir Serum,202,1008,3696,83.11,88,746592,42336
MAC Cosmetics,Middle East,Abu Dhabi,Airport Duty-Free,Standalone Pop-Up,6/11/24,9/3/24,84,LE-1ZQ154VN,MAC Cosmetics Lumière Eyeshadow Palette,130.99,2452,1714,69.42,20.4047619,224516.86,205968
Armani Beauty,Middle East,Dubai,High-Street,Shop-in-Shop,9/21/24,12/4/24,74,LE-LYSQ1B11,Armani Beauty Glow Eyeshadow Palette,68.78,1388,2180,79.04,29.45945946,149940.4,102712
MAC Cosmetics,Latin America,Buenos Aires,Airport Duty-Free,Mall Kiosk,3/21/25,6/8/25,79,LE-WZCUTZFQ,MAC Cosmetics Rouge Primer,77.79,2462,3736,81.61,47.29113924,290623.44,194498
Guerlain,North America,Chicago,High-Street,Standalone Pop-Up,12/19/24,1/19/25,31,LE-94B1DJBW,Guerlain Éclat Serum,180.99,1167,374,73.48,12.06451613,67690.26,36177
NARS,Europe,Berlin,Luxury Mall,Flash Event,6/1/24,6/17/24,16,LE-IMUOQ9XH,NARS Pearl Lipstick,71.02,1941,3205,70.25,200.3125,227619.1,31056
Armani Beauty,Latin America,Lima,Department Store Atrium,Standalone Pop-Up,10/15/24,11/5/24,21,LE-MILKVPO9,Armani Beauty Noir Highlighter,62.57,1710,3791,81.39,180.5238095,237202.87,35910
Estée Lauder,North America,Los Angeles,Department Store Atrium,Shop-in-Shop,6/17/24,9/11/24,86,LE-TT0DFA1R,Estée Lauder Mirage Blush,67.48,1676,3657,100,42.52325581,246774.36,144136
Lancôme,Asia-Pacific,Hong Kong,Art/Design District,Shop-in-Shop,8/6/24,10/13/24,68,LE-6M2T2IFE,Lancôme Velvet Highlighter,77.83,826,1588,49.18,23.35294118,123594.04,56168
Chanel,Latin America,Mexico City,Luxury Mall,Shop-in-Shop,4/3/25,6/23/25,81,LE-T2S8WW6I,Chanel Lumière Lipstick,53.45,871,1512,63.11,18.66666667,80816.4,70551
Bobbi Brown,Latin America,Lima,Department Store Atrium,Shop-in-Shop,10/10/24,11/18/24,39,LE-GZU3FXUG,Bobbi Brown Pearl Eyeshadow Palette,123.71,1880,1376,83.5,35.28205128,170224.96,73320
Sisley-Paris,Middle East,Riyadh,Department Store Atrium,Flash Event,1/31/25,4/11/25,70,LE-RBRQRRZN,Sisley-Paris Pearl Foundation,49.69,1098,2891,65.27,41.3,143653.79,76860
Rare Beauty,Europe,Madrid,Art/Design District,Standalone Pop-Up,4/3/24,6/16/24,74,LE-CISG350F,Rare Beauty Rouge Primer,54.74,1221,2049,89.63,27.68918919,112162.26,90354
Valentino Beauty,Asia-Pacific,Tokyo,Airport Duty-Free,Flash Event,4/29/25,7/5/25,67,LE-N7DE6S0C,Valentino Beauty Mirage Eyeshadow Palette,107.58,1103,3914,82.64,58.41791045,421068.12,73901
Hourglass,Asia-Pacific,Tokyo,Department Store Atrium,Standalone Pop-Up,7/16/25,8/9/25,24,LE-CSVV665P,Hourglass Noir Fragrance,363.16,1204,2021,80.1,84.20833333,733946.36,28896
Bobbi Brown,North America,New York,Department Store Atrium,Mobile Pop-Up Truck,2/21/24,4/30/24,69,LE-WE15WCGG,Bobbi Brown Mirage Primer,80.07,1276,1707,69.7,24.73913043,136679.49,88044
Bobbi Brown,Asia-Pacific,Seoul,Luxury Mall,Shop-in-Shop,1/5/25,2/11/25,37,LE-K6XTT4QJ,Bobbi Brown Satin Highlighter,69.21,1200,3568,82.82,96.43243243,246941.28,44400
YSL Beauty,Asia-Pacific,Hong Kong,High-Street,Mall Kiosk,5/24/25,6/29/25,36,LE-P1UZ0XNI,YSL Beauty Satin Primer,53.1,980,162,46.15,4.5,8602.2,35280
YSL Beauty,Latin America,Mexico City,Airport Duty-Free,Flash Event,11/4/24,12/29/24,55,LE-9VN6DNYK,YSL Beauty Velvet Highlighter,88.68,2287,2906,61.78,52.83636364,257704.08,125785
Charlotte Tilbury,Europe,Paris,Luxury Mall,Standalone Pop-Up,8/31/24,10/12/24,42,LE-U6UD8TFX,Charlotte Tilbury Opulence Setting Powder,46.6,1648,3238,65.18,77.0952381,150890.8,69216
Charlotte Tilbury,Latin America,Bogotá,Department Store Atrium,Mall Kiosk,5/22/25,5/27/25,5,LE-AR66S6O1,Charlotte Tilbury Noir Highlighter,35.27,1559,1433,76.59,286.6,50541.91,7795
Guerlain,Middle East,Doha,Art/Design District,Mall Kiosk,4/5/25,4/24/25,19,LE-IBK6S4G9,Guerlain Satin Fragrance,294.31,1078,1176,65.33,61.89473684,346108.56,20482
Valentino Beauty,Europe,Madrid,Art/Design District,Mobile Pop-Up Truck,10/20/24,12/18/24,59,LE-3E3901LR,Valentino Beauty Noir Serum,119.49,822,1678,79.19,28.44067797,200504.22,48498
Clé de Peau Beauté,Middle East,Dubai,Department Store Atrium,Mall Kiosk,12/26/24,3/9/25,73,LE-U2H8M8V4,Clé de Peau Beauté Noir Lipstick,46.06,902,994,61.47,13.61643836,45783.64,65846
Huda Beauty,Latin America,Bogotá,Department Store Atrium,Flash Event,11/12/24,12/31/24,49,LE-RV21X9YV,Huda Beauty Velvet Setting Powder,66.5,1366,3021,72.53,61.65306122,200896.5,66934
Valentino Beauty,Latin America,Lima,High-Street,Standalone Pop-Up,11/22/24,1/25/25,64,LE-2M0ECMBF,Valentino Beauty Velvet Blush,68.08,1173,1885,70.15,29.453125,128330.8,75072
Fenty Beauty,Latin America,São Paulo,High-Street,Standalone Pop-Up,3/22/25,6/14/25,84,LE-D345PXO5,Fenty Beauty Lumière Primer,45.2,2000,1240,52.81,14.76190476,56048,168000
YSL Beauty,North America,Chicago,High-Street,Shop-in-Shop,12/28/24,1/26/25,29,LE-DPH98NW0,YSL Beauty Pearl Fragrance,96.08,1708,2947,63.44,101.6206897,283147.76,49532
Fenty Beauty,Latin America,Bogotá,High-Street,Flash Event,1/10/25,3/24/25,73,LE-NOGXTHER,Fenty Beauty Mirage Eyeshadow Palette,147.16,2145,1138,95.71,15.5890411,167468.08,156585
Clé de Peau Beauté,Middle East,Jeddah,Luxury Mall,Mobile Pop-Up Truck,2/21/24,5/21/24,90,LE-LVPHL8BT,Clé de Peau Beauté Pearl Lipstick,42.97,919,2042,94.67,22.68888889,87744.74,82710
Armani Beauty,Europe,Madrid,Airport Duty-Free,Mall Kiosk,12/25/24,1/9/25,15,LE-8WV0G683,Armani Beauty Glow Serum,98.1,1733,2673,86.17,178.2,262221.3,25995
Tom Ford Beauty,Europe,London,Airport Duty-Free,Standalone Pop-Up,7/1/24,9/2/24,63,LE-2OGVA3GH,Tom Ford Beauty Satin Fragrance,367.85,1474,950,47.81,15.07936508,349457.5,92862
Fenty Beauty,Middle East,Abu Dhabi,Luxury Mall,Mall Kiosk,2/19/25,2/24/25,5,LE-RODFHO3W,Fenty Beauty Lumière Serum,261.36,1071,642,64.91,128.4,167793.12,5355
Chanel,Latin America,Lima,Art/Design District,Flash Event,12/6/24,12/9/24,3,LE-KFFLDY4A,Chanel Glow Mascara,31.2,867,1086,55.75,362,33883.2,2601
Shiseido,Latin America,Bogotá,High-Street,Flash Event,12/31/24,1/22/25,22,LE-XKB5AMAY,Shiseido Satin Foundation,54.77,1365,3944,83.4,179.2727273,216012.88,30030
Guerlain,Middle East,Jeddah,High-Street,Shop-in-Shop,9/19/24,11/22/24,64,LE-VAXADJET,Guerlain Velvet Eyeshadow Palette,129.34,2582,3391,84.92,52.984375,438591.94,165248
Fenty Beauty,Latin America,São Paulo,High-Street,Shop-in-Shop,8/31/24,10/7/24,37,LE-FDDZCQC7,Fenty Beauty Satin Eyeshadow Palette,117.49,1678,1174,84.7,31.72972973,137933.26,62086
Sisley-Paris,North America,New York,High-Street,Shop-in-Shop,7/6/24,9/15/24,71,LE-PA9QJNA7,Sisley-Paris Noir Highlighter,52.31,1539,1761,56.46,24.8028169,92117.91,109269
YSL Beauty,Asia-Pacific,Tokyo,Art/Design District,Mobile Pop-Up Truck,10/2/24,12/15/24,74,LE-M5M1RR2N,YSL Beauty Lumière Mascara,63.07,957,2163,100,29.22972973,136420.41,70818
Lancôme,Europe,Milan,Art/Design District,Shop-in-Shop,4/9/25,5/27/25,48,LE-1YA7A9YQ,Lancôme Satin Foundation,68.92,1049,4437,97.05,92.4375,305798.04,50352
NARS,Asia-Pacific,Singapore,Art/Design District,Mall Kiosk,10/23/24,1/12/25,81,LE-FH7CWYK2,NARS Lumière Lipstick,69.3,932,543,79.5,6.703703704,37629.9,75492
Hourglass,Asia-Pacific,Shanghai,High-Street,Mall Kiosk,12/17/24,3/15/25,88,LE-5F326Q9C,Hourglass Velvet Mascara,42.38,1812,3592,79.57,40.81818182,152228.96,159456
Bobbi Brown,Middle East,Jeddah,Department Store Atrium,Standalone Pop-Up,3/18/24,5/14/24,57,LE-TVJY6N7W,Bobbi Brown Velvet Serum,184.42,1617,1244,81.36,21.8245614,229418.48,92169
Dior,North America,Miami,Art/Design District,Flash Event,2/2/25,2/7/25,5,LE-E8435WZE,Dior Éclat Highlighter,77.24,602,3058,72.24,611.6,236199.92,3010
Huda Beauty,Europe,Paris,Department Store Atrium,Standalone Pop-Up,3/26/24,4/24/24,29,LE-432A6LPO,Huda Beauty Opulence Blush,53.28,1799,1575,68.27,54.31034483,83916,52171
Pat McGrath Labs,Latin America,São Paulo,Airport Duty-Free,Standalone Pop-Up,12/31/24,3/12/25,71,LE-0ZV1FBZ3,Pat McGrath Labs Noir Serum,249.66,1346,3216,84.72,45.29577465,802906.56,95566
Pat McGrath Labs,Asia-Pacific,Singapore,Art/Design District,Standalone Pop-Up,12/6/24,2/25/25,81,LE-8E626QS1,Pat McGrath Labs Satin Eyeshadow Palette,115.02,553,1907,54.22,23.54320988,219343.14,44793
Hourglass,North America,Unknown,Luxury Mall,Standalone Pop-Up,12/20/24,12/31/24,11,LE-MJINSCZ5,Hourglass Opulence Foundation,55.11,1228,3507,77.35,318.8181818,193270.77,13508
Hourglass,North America,Miami,Art/Design District,Shop-in-Shop,11/17/24,1/20/25,64,LE-NSRYXQ8L,Hourglass Rouge Mascara,34.51,876,841,72.13,13.140625,29022.91,56064
Bobbi Brown,Asia-Pacific,Tokyo,Luxury Mall,Shop-in-Shop,4/13/24,6/20/24,68,LE-Y00B8XAW,Bobbi Brown Velvet Blush,57.99,1201,2377,84.38,34.95588235,137842.23,81668
Shiseido,North America,Chicago,Luxury Mall,Mall Kiosk,5/5/24,5/24/24,19,LE-ERDXOCQL,Shiseido Glow Lipstick,73.19,1479,990,60.37,52.10526316,72458.1,28101
Estée Lauder,Asia-Pacific,Singapore,High-Street,Flash Event,4/11/25,4/27/25,16,LE-DHMNBBBR,Estée Lauder Rouge Eyeshadow Palette,91.11,2441,518,63.71,32.375,47194.98,39056
